year,president,allnoncerm_eo,divided,lame_duck,war,trend,administration_change,spending_percent_gdp,inflation,averagemajsize,lnlegexp,lncommtot1,lneopexp,postlra,tr,taft,wilson,harding,coolidge,hoover,fdr,truman,ike,jfk,lbj,nixon,ford,carter,reagan,bush41,clinton,bush43,obama
1982,reagan,63,1,0,0,77,0,22.920000076293945,6.130000114440918,0.548669695854187,7.8812150955200195,7.967627048492432,0.6117126941680908,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1983,reagan,57,1,0,0,78,0,22.8700008392334,3.2100000381469727,0.548669695854187,7.9569268226623535,8.021256446838379,0.6441702842712402,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1984,reagan,40,1,0,0,79,0,21.670000076293945,4.320000171661377,0.5812016725540161,8.029210090637207,8.01928424835205,0.589327871799469,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1985,reagan,45,1,0,0,80,0,22.440000534057617,3.559999942779541,0.5812016725540161,7.9371747970581055,8.035602569580078,0.5579171776771545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1986,reagan,37,1,0,0,81,0,22.209999084472656,1.8600000143051147,0.5590888261795044,7.977736949920654,8.015987396240234,0.5378543138504028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1987,reagan,41,1,0,0,82,0,21.200000762939453,3.6500000953674316,0.5590888261795044,8.0097017288208,8.038512229919434,0.5126606225967407,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1988,reagan,45,1,1,0,83,0,20.8700008392334,4.139999866485596,0.5661274790763855,8.02946662902832,7.988204002380371,0.4783583879470825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1989,hwbush,31,1,0,0,84,0,20.860000610351562,4.820000171661377,0.5661274790763855,8.137923240661621,8.006033897399902,0.44021180272102356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1990,hwbush,43,1,0,1,85,0,21.600000381469727,5.400000095367432,0.5727273225784302,8.120092391967773,8.033658027648926,0.861341118812561,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1991,hwbush,45,1,0,1,86,0,22.100000381469727,4.210000038146973,0.5727273225784302,8.08902359008789,8.080547332763672,1.0285840034484863,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1992,hwbush,42,1,0,0,87,0,21.780000686645508,3.009999990463257,0.5928000211715698,8.224422454833984,8.066521644592285,0.9691416025161743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1993,clinton,56,0,0,0,88,1,21.139999389648438,2.990000009536743,0.5928000211715698,8.112257957458496,8.01135540008545,0.9877257943153381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1994,clinton,53,0,0,0,89,0,20.6299991607666,2.559999942779541,0.5780497789382935,8.150078773498535,8.007699966430664,1.1411950588226318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1995,clinton,42,1,0,0,90,0,20.440000534057617,2.8299999237060547,0.5780497789382935,8.157759666442871,7.589840888977051,1.0488920211791992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1996,clinton,48,1,0,0,91,0,19.90999984741211,2.950000047683716,0.5327560901641846,7.9956231117248535,7.585789203643799,0.9683660268783569,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1997,clinton,37,1,0,0,92,0,19.219999313354492,2.2899999618530273,0.5327560901641846,8.017518997192383,7.719573974609375,1.0413260459899902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1998,clinton,37,1,0,0,93,0,18.790000915527344,1.559999942779541,0.5369048118591309,8.102261543273926,7.626570224761963,1.1003860235214233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1999,clinton,35,1,0,0,94,0,18.190000534057617,2.2100000381469727,0.5369048118591309,8.090490341186523,7.622175216674805,1.650184988975525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2000,clinton,52,1,0,0,95,0,18.190000534057617,3.359999895095825,0.5308027267456055,8.173759460449219,7.5694122314453125,1.2984060049057007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,wbush,53,1,0,1,96,1,18.110000610351562,2.8499999046325684,0.5308027267456055,8.217989921569824,7.591862201690674,1.275946021080017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,wbush,30,1,0,1,97,0,18.899999618530273,1.5800000429153442,0.5085421800613403,8.234453201293945,7.645398139953613,1.7714860439300537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2003,wbush,41,0,0,1,98,0,19.3799991607666,2.2799999713897705,0.5085421800613403,8.275284767150879,7.6255950927734375,1.5285489559173584,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2004,wbush,45,0,0,0,99,0,19.34000015258789,2.6600000858306885,0.5206736922264099,8.385416984558105,7.6434831619262695,3.611694097518921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2005,wbush,26,0,0,0,100,0,19.579999923706055,3.390000104904175,0.5206736922264099,8.37903881072998,7.677401065826416,4.427296161651611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2006,wbush,26,0,0,0,101,0,19.850000381469727,3.2300000190734863,0.5438786745071411,8.373536109924316,7.675082206726074,4.04227876663208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2007,wbush,31,1,0,0,102,0,19.450000762939453,2.8499999046325684,0.5438786745071411,8.394829750061035,7.543272972106934,3.4281580448150635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008,wbush,34,1,1,0,103,0,20.760000228881836,3.8399999141693115,0.5226547122001648,8.39838695526123,7.7323689460754395,2.4924349784851074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2009,obama,38,0,0,0,104,1,25.239999771118164,-0.36000001430511475,0.5226547122001648,8.456816673278809,7.712891101837158,1.9459099769592285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2010,obama,35,0,0,0,105,0,23.81999969482422,1.6399999856948853,0.587497889995575,8.654985427856445,NA,1.7796330451965332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,obama,34,1,0,0,106,0,23.889999389648438,3.1600000858306885,0.587497889995575,8.641249656677246,NA,1.7287360429763794,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,obama,39,1,0,0,107,0,21.770000457763672,2.069999933242798,0.53404998779296875,8.3809814453125,NA,1.526507019996643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2013,obama,20,1,0,0,108,0,20.56999969482422,1.4600000381469727,0.53404998779296875,8.334776878356934,NA,1.3335850238800049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
